#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A68A76
#Date Time: 2019-03-19 09:03:45.091
#Sample rate: 4e+06Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 0 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 100 mV/div Offset: 300 mV
#Channel 2: Range: 2 V/div Offset: -4 V
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Sine
#Frequency: 1 kHz
#Amplitude: 100 mV
#Offset: 0 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.00099075,-0.00267102,0.293347
-0.0009905,-0.00267102,0.299977
-0.00099025,-0.00596743,0.303292
-0.00099,-0.00267102,0.313237
-0.00098975,-0.00596743,0.319866
-0.0009895,-0.00267102,0.326496
-0.00098925,-0.00267102,0.329811
-0.000989,-0.00267102,0.339756
-0.00098875,-0.00596743,0.349701
-0.0009885,-0.00596743,0.362961
-0.00098825,-0.00926384,0.36959
-0.000988,-0.00596743,0.379535
-0.00098775,-0.00926384,0.386165
-0.0009875,-0.00926384,0.399425
-0.00098725,-0.00926384,0.412685
-0.000987,-0.00596743,0.422629
-0.00098675,0.000625387,0.432574
-0.0009865,-0.00267102,0.439204
-0.00098625,-0.00596743,0.442519
-0.000986,-0.00267102,0.445834
-0.00098575,-0.00596743,0.452464
-0.0009855,-0.00596743,0.452464
-0.00098525,-0.00596743,0.465723
-0.000985,-0.00596743,0.469038
-0.00098475,-0.0125603,0.485613
-0.0009845,-0.00926384,0.492243
-0.00098425,-0.00596743,0.505503
-0.000984,-0.0125603,0.512133
-0.00098375,-0.00926384,0.515447
-0.0009835,-0.0125603,0.522077
-0.00098325,-0.0125603,0.538652
-0.000983,-0.0158567,0.548597
-0.00098275,-0.0125603,0.555227
-0.0009825,-0.00926384,0.568486
-0.00098225,-0.00596743,0.578431
-0.000982,-0.00926384,0.585061
-0.00098175,-0.0125603,0.601636
-0.0009815,-0.00926384,0.614895
-0.00098125,-0.00926384,0.621525
-0.000981,-0.00596743,0.634785
-0.00098075,-0.00596743,0.634785
-0.0009805,-0.00596743,0.634785
-0.00098025,-0.00926384,0.6381
-0.00098,-0.00596743,0.641415
-0.00097975,-0.00596743,0.65136
-0.0009795,-0.00267102,0.664619
-0.00097925,-0.00596743,0.667934
-0.000979,-0.00926384,0.681194
-0.00097875,-0.00926384,0.687824
-0.0009785,-0.00926384,0.701084
-0.00097825,-0.00596743,0.707714
-0.000978,-0.00926384,0.714343
-0.00097775,-0.00596743,0.714343
-0.0009775,-0.00926384,0.720973
-0.00097725,-0.0125603,0.730918
-0.000977,-0.0125603,0.734233
-0.00097675,-0.0125603,0.740863
-0.0009765,-0.00926384,0.750808
-0.00097625,-0.00926384,0.760752
-0.000976,-0.00926384,0.764067
-0.00097575,-0.00596743,0.774012
-0.0009755,-0.0125603,0.787272
-0.00097525,-0.0125603,0.790587
-0.000975,-0.00926384,0.793902
-0.00097475,-0.00926384,0.807162
-0.0009745,-0.00926384,0.817106
-0.00097425,-0.0125603,0.817106
-0.000974,-0.0125603,0.823736
-0.00097375,-0.0158567,0.830366
-0.0009735,-0.0158567,0.836996
-0.00097325,-0.0158567,0.850256
-0.000973,-0.0158567,0.863515
-0.00097275,-0.0125603,0.870145
-0.0009725,-0.00926384,0.88009
-0.00097225,-0.0125603,0.890035
-0.000972,-0.00926384,0.89998
-0.00097175,-0.00926384,0.903295
-0.0009715,-0.00926384,0.90661
-0.00097125,-0.00926384,0.919869
-0.000971,-0.00926384,0.926499
-0.00097075,-0.00926384,0.923184
-0.0009705,-0.00926384,0.926499
-0.00097025,-0.0158567,0.929814
-0.00097,-0.0125603,0.939759
-0.00096975,-0.0158567,0.946389
-0.0009695,-0.0191531,0.959648
-0.00096925,-0.0191531,0.972908
-0.000969,-0.0158567,0.979538
-0.00096875,-0.0191531,0.989483
-0.0009685,-0.0191531,1.00274
-0.00096825,-0.0191531,1.00606
-0.000968,-0.0158567,1.01269
-0.00096775,-0.0158567,1.02263
-0.0009675,-0.0125603,1.03589
-0.00096725,-0.00926384,1.04252
-0.000967,-0.0125603,1.0591
-0.00096675,-0.0158567,1.06241
-0.0009665,-0.0191531,1.07236
-0.00096625,-0.0224495,1.07899
-0.000966,-0.0158567,1.08893
-0.00096575,-0.0191531,1.09888
-0.0009655,-0.0191531,1.11545
-0.00096525,-0.0191531,1.1254
-0.000965,-0.0224495,1.12871
-0.00096475,-0.0191531,1.13534
-0.0009645,-0.0191531,1.1486
-0.00096425,-0.0191531,1.15523
-0.000964,-0.0224495,1.1718
-0.00096375,-0.0224495,1.18506
-0.0009635,-0.0257459,1.19832
-0.00096325,-0.0224495,1.20495
-0.000963,-0.0191531,1.20827
-0.00096275,-0.0224495,1.21158
-0.0009625,-0.0158567,1.21821
-0.00096225,-0.0191531,1.22153
-0.000962,-0.0191531,1.22816
-0.00096175,-0.0224495,1.23479
-0.0009615,-0.0257459,1.24805
-0.00096125,-0.0257459,1.25468
-0.000961,-0.0224495,1.26462
-0.00096075,-0.0257459,1.27788
-0.0009605,-0.0224495,1.29114
-0.00096025,-0.0224495,1.30109
-0.00096,-0.0224495,1.3044
-0.00095975,-0.0224495,1.31103
-0.0009595,-0.0224495,1.31766
-0.00095925,-0.0257459,1.32429
-0.000959,-0.0257459,1.33755
-0.00095875,-0.0224495,1.3475
-0.0009585,-0.0257459,1.36076
-0.00095825,-0.0224495,1.37733
-0.000958,-0.0257459,1.38396
-0.00095775,-0.0224495,1.38727
-0.0009575,-0.0257459,1.3939
-0.00095725,-0.0224495,1.40385
-0.000957,-0.0257459,1.40053
-0.00095675,-0.0257459,1.40053
-0.0009565,-0.0257459,1.40053
-0.00095625,-0.0257459,1.40716
-0.000956,-0.0257459,1.41379
-0.00095575,-0.0257459,1.42705
-0.0009555,-0.0257459,1.43037
-0.00095525,-0.0257459,1.43368
-0.000955,-0.0224495,1.44031
-0.00095475,-0.0257459,1.45026
-0.0009545,-0.0224495,1.45357
-0.00095425,-0.0224495,1.45689
-0.000954,-0.0224495,1.46352
-0.00095375,-0.0323387,1.47346
-0.0009535,-0.0323387,1.48341
-0.00095325,-0.0290423,1.49335
-0.000953,-0.0224495,1.5033
-0.00095275,-0.0224495,1.50993
-0.0009525,-0.0191531,1.52319
-0.00095225,-0.0257459,1.52982
-0.000952,-0.0224495,1.53976
-0.00095175,-0.0257459,1.53645
-0.0009515,-0.0224495,1.54308
-0.00095125,-0.0224495,1.54308
-0.000951,-0.0191531,1.54971
-0.00095075,-0.0257459,1.55302
-0.0009505,-0.0224495,1.55965
-0.00095025,-0.0257459,1.55302
-0.00095,-0.0290423,1.56628
-0.00094975,-0.0257459,1.57291
-0.0009495,-0.0323387,1.58286
-0.00094925,-0.0323387,1.59943
-0.000949,-0.0257459,1.60938
-0.00094875,-0.0224495,1.62264
-0.0009485,-0.0323387,1.63921
-0.00094825,-0.0290423,1.64915
-0.000948,-0.0323387,1.66241
-0.00094775,-0.0290423,1.67567
-0.0009475,-0.0323387,1.6823
-0.00094725,-0.0323387,1.69225
-0.000947,-0.0290423,1.70219
-0.00094675,-0.0290423,1.70882
-0.0009465,-0.0290423,1.71545
-0.00094625,-0.0323387,1.72871
-0.000946,-0.0323387,1.73534
-0.00094575,-0.0290423,1.73534
-0.0009455,-0.0257459,1.74529
-0.00094525,-0.0257459,1.75523
-0.000945,-0.0257459,1.76186
-0.00094475,-0.0323387,1.76518
-0.0009445,-0.0290423,1.77844
-0.00094425,-0.0356351,1.77844
-0.000944,-0.0323387,1.78838
-0.00094375,-0.0323387,1.80164
-0.0009435,-0.0257459,1.80496
-0.00094325,-0.0224495,1.81159
-0.000943,-0.0257459,1.8149
-0.00094275,-0.0290423,1.82816
-0.0009425,-0.0290423,1.83479
-0.00094225,-0.0290423,1.84474
-0.000942,-0.0323387,1.85468
-0.00094175,-0.0323387,1.86463
-0.0009415,-0.0323387,1.87788
-0.00094125,-0.0323387,1.87788
-0.000941,-0.0290423,1.89114
-0.00094075,-0.0290423,1.89777
-0.0009405,-0.0290423,1.90772
-0.00094025,-0.0323387,1.91103
-0.00094,-0.0290423,1.91766
-0.00093975,-0.0257459,1.92429
-0.0009395,-0.0257459,1.92761
-0.00093925,-0.0257459,1.93424
-0.000939,-0.0290423,1.94087
-0.00093875,-0.0323387,1.95081
-0.0009385,-0.0323387,1.95744
-0.00093825,-0.0389315,1.96407
-0.000938,-0.0356351,1.96739
-0.00093775,-0.0323387,1.97733
-0.0009375,-0.0323387,1.98728
-0.00093725,-0.0257459,1.99391
-0.000937,-0.0257459,2.00054
-0.00093675,-0.0257459,2.00717
-0.0009365,-0.0323387,2.00717
-0.00093625,-0.0290423,2.0138
-0.000936,-0.0290423,2.0138
-0.00093575,-0.0323387,2.01711
-0.0009355,-0.0356351,2.02043
-0.00093525,-0.0323387,2.02043
-0.000935,-0.0356351,2.03037
-0.00093475,-0.0389315,2.03369
-0.0009345,-0.0356351,2.04695
-0.00093425,-0.0422279,2.05358
-0.000934,-0.0389315,2.07015
-0.00093375,-0.0356351,2.07678
-0.0009335,-0.0389315,2.09004
-0.00093325,-0.0389315,2.09667
-0.000933,-0.0389315,2.10662
-0.00093275,-0.0422279,2.10993
-0.0009325,-0.0389315,2.11656
-0.00093225,-0.0422279,2.12319
-0.000932,-0.0389315,2.13313
-0.00093175,-0.0356351,2.14308
-0.0009315,-0.0389315,2.14971
-0.00093125,-0.0356351,2.15965
-0.000931,-0.0356351,2.16628
-0.00093075,-0.0323387,2.18617
-0.0009305,-0.0356351,2.20275
-0.00093025,-0.0356351,2.20938
-0.00093,-0.0356351,2.21932
-0.00092975,-0.0389315,2.23258
-0.0009295,-0.0389315,2.23921
-0.00092925,-0.0356351,2.24584
-0.000929,-0.0389315,2.24916
-0.00092875,-0.0389315,2.25579
-0.0009285,-0.0356351,2.26242
-0.00092825,-0.0389315,2.26573
-0.000928,-0.0356351,2.26905
-0.00092775,-0.0323387,2.26573
-0.0009275,-0.0356351,2.27236
-0.00092725,-0.0356351,2.27236
-0.000927,-0.0356351,2.29225
-0.00092675,-0.0389315,2.29557
-0.0009265,-0.0356351,2.29888
-0.00092625,-0.0356351,2.31214
-0.000926,-0.0356351,2.31877
-0.00092575,-0.0356351,2.3254
-0.0009255,-0.0389315,2.33203
-0.00092525,-0.0422279,2.33535
-0.000925,-0.0455243,2.34529
-0.00092475,-0.0455243,2.35524
-0.0009245,-0.0422279,2.36187
-0.00092425,-0.0422279,2.37512
-0.000924,-0.0389315,2.38507
-0.00092375,-0.0389315,2.39501
-0.0009235,-0.0389315,2.40827
-0.00092325,-0.0356351,2.41159
-0.000923,-0.0389315,2.41822
-0.00092275,-0.0422279,2.42485
-0.0009225,-0.0422279,2.43148
-0.00092225,-0.0455243,2.43148
-0.000922,-0.0455243,2.43148
-0.00092175,-0.0455243,2.44142
-0.0009215,-0.0488208,2.44474
-0.00092125,-0.0455243,2.45468
-0.000921,-0.0422279,2.46463
-0.00092075,-0.0422279,2.47457
-0.0009205,-0.0389315,2.48452
-0.00092025,-0.0389315,2.49446
-0.00092,-0.0422279,2.50109
-0.00091975,-0.0422279,2.50772
-0.0009195,-0.0422279,2.51435
-0.00091925,-0.0389315,2.5243
-0.000919,-0.0389315,2.53424
-0.00091875,-0.0356351,2.54087
-0.0009185,-0.0455243,2.54419
-0.00091825,-0.0455243,2.55082
-0.000918,-0.0455243,2.55413
-0.00091775,-0.0422279,2.55413
-0.0009175,-0.0389315,2.56076
-0.00091725,-0.0389315,2.56739
-0.000917,-0.0389315,2.57071
-0.00091675,-0.0422279,2.57734
-0.0009165,-0.0455243,2.58397
-0.00091625,-0.0455243,2.59391
-0.000916,-0.0422279,2.61049
-0.00091575,-0.0455243,2.61711
-0.0009155,-0.0455243,2.62374
-0.00091525,-0.0488208,2.63369
-0.000915,-0.0488208,2.64032
-0.00091475,-0.0455243,2.64032
-0.0009145,-0.0455243,2.64695
-0.00091425,-0.0455243,2.66352
-0.000914,-0.0422279,2.67347
-0.00091375,-0.0422279,2.68341
-0.0009135,-0.0455243,2.69336
-0.00091325,-0.0455243,2.69999
-0.000913,-0.0488208,2.7033
-0.00091275,-0.0422279,2.70993
-0.0009125,-0.0455243,2.72319
-0.00091225,-0.0455243,2.73314
-0.000912,-0.0389315,2.73645
-0.00091175,-0.0389315,2.74971
-0.0009115,-0.0356351,2.75303
-0.00091125,-0.0389315,2.75966
-0.000911,-0.0389315,2.76629
-0.00091075,-0.0389315,2.7696
-0.0009105,-0.0389315,2.77623
-0.00091025,-0.0455243,2.77623
-0.00091,-0.0422279,2.78286
-0.00090975,-0.0422279,2.78618
-0.0009095,-0.0455243,2.78949
-0.00090925,-0.0455243,2.79281
-0.000909,-0.0488208,2.80938
-0.00090875,-0.0455243,2.8127
-0.0009085,-0.0488208,2.81933
-0.00090825,-0.0488208,2.82596
-0.000908,-0.0521172,2.83259
-0.00090775,-0.0521172,2.84916
-0.0009075,-0.0521172,2.84916
-0.00090725,-0.0488208,2.86242
-0.000907,-0.0521172,2.86905
-0.00090675,-0.0488208,2.86905
-0.0009065,-0.0521172,2.87568
-0.00090625,-0.0554136,2.87899
-0.000906,-0.0521172,2.88231
-0.00090575,-0.0554136,2.88894
-0.0009055,-0.05871,2.89557
-0.00090525,-0.05871,2.9022
-0.000905,-0.05871,2.91546
-0.00090475,-0.0554136,2.92209
-0.0009045,-0.0488208,2.93535
-0.00090425,-0.0488208,2.94861
-0.000904,-0.0488208,2.95855
-0.00090375,-0.0488208,2.9685
-0.0009035,-0.0488208,2.97513
-0.00090325,-0.0488208,2.98507
-0.000903,-0.0521172,2.99833
-0.00090275,-0.0455243,2.99833
-0.0009025,-0.0488208,3.00165
-0.00090225,-0.0455243,3.00828
-0.000902,-0.0488208,3.01491
-0.00090175,-0.0455243,3.01822
-0.0009015,-0.0455243,3.02485
-0.00090125,-0.0488208,3.02817
-0.000901,-0.0455243,3.0348
-0.00090075,-0.0422279,3.04143
-0.0009005,-0.0455243,3.04143
-0.00090025,-0.0455243,3.04806
-0.0009,-0.0521172,3.05137
-0.00089975,-0.0521172,3.05469
-0.0008995,-0.0521172,3.06132
-0.00089925,-0.0521172,3.07458
-0.000899,-0.0521172,3.07458
-0.00089875,-0.0521172,3.08121
-0.0008985,-0.0554136,3.08452
-0.00089825,-0.0521172,3.08784
-0.000898,-0.0521172,3.09778
-0.00089775,-0.0521172,3.1011
-0.0008975,-0.0554136,3.11435
-0.00089725,-0.0554136,3.11767
-0.000897,-0.0554136,3.13093
