x-axis,1,2
second,Volt,Volt
-2.500000E-03,+28.643213E-03,-502.512515E-03
-2.497500E-03,+34.673364E-03,-582.914524E-03
-2.495000E-03,+32.663314E-03,-582.914524E-03
-2.492500E-03,+28.643213E-03,-502.512515E-03
-2.490000E-03,+28.643213E-03,-502.512515E-03
-2.487500E-03,+28.643213E-03,-422.110505E-03
-2.485000E-03,+32.663314E-03,-502.512515E-03
-2.482500E-03,+28.643213E-03,-422.110505E-03
-2.480000E-03,+28.643213E-03,-422.110505E-03
-2.477500E-03,+28.643213E-03,-341.708496E-03
-2.475000E-03,+26.633163E-03,-341.708496E-03
-2.472500E-03,+26.633163E-03,-341.708496E-03
-2.470000E-03,+22.613063E-03,-261.306487E-03
-2.467500E-03,+22.613063E-03,-261.306487E-03
-2.465000E-03,+24.623113E-03,-261.306487E-03
-2.462500E-03,+22.613063E-03,-180.904478E-03
-2.460000E-03,+22.613063E-03,-180.904478E-03
-2.457500E-03,+18.592962E-03,-100.502469E-03
-2.455000E-03,+20.603012E-03,-180.904478E-03
-2.452500E-03,+20.603012E-03,-100.502469E-03
-2.450000E-03,+18.592962E-03,-20.100459E-03
-2.447500E-03,+14.572862E-03,-20.100459E-03
-2.445000E-03,+14.572862E-03,+60.301550E-03
-2.442500E-03,+14.572862E-03,-20.100459E-03
-2.440000E-03,+14.572862E-03,+60.301550E-03
-2.437500E-03,+14.572862E-03,+60.301550E-03
-2.435000E-03,+12.562811E-03,+60.301550E-03
-2.432500E-03,+10.552761E-03,+60.301550E-03
-2.430000E-03,+12.562811E-03,+140.703559E-03
-2.427500E-03,+12.562811E-03,+221.105568E-03
-2.425000E-03,+8.542711E-03,+221.105568E-03
-2.422500E-03,+8.542711E-03,+221.105568E-03
-2.420000E-03,+4.522610E-03,+301.507577E-03
-2.417500E-03,+8.542711E-03,+301.507577E-03
-2.415000E-03,+4.522610E-03,+301.507577E-03
-2.412500E-03,+6.532661E-03,+301.507577E-03
-2.410000E-03,+2.512560E-03,+381.909586E-03
-2.407500E-03,+4.522610E-03,+381.909586E-03
-2.405000E-03,+2.512560E-03,+462.311596E-03
-2.402500E-03,+2.512560E-03,+462.311596E-03
-2.400000E-03,+502.510E-06,+462.311596E-03
-2.397500E-03,+502.510E-06,+542.713605E-03
-2.395000E-03,-1.507540E-03,+542.713605E-03
-2.392500E-03,+2.512560E-03,+623.115614E-03
-2.390000E-03,-3.517590E-03,+623.115614E-03
-2.387500E-03,-1.507540E-03,+623.115614E-03
-2.385000E-03,-1.507540E-03,+623.115614E-03
