Frequency (Hz),Channel 2 Magnitude (dB),Channel 2 Phase (°)
20,-27.609554809618938,15.929451371303644
20.185243819740947,-27.404829168923243,15.459493041847756
20.372203403119507,-27.117453394221322,15.162586536047026
20.560894641866195,-27.095344961004404,16.008301263267562
20.751333574903718,-26.741915419935061,15.523338533334313
20.943536389710406,-26.530944036880072,15.8468582360045
21.13751942369608,-26.53119728128604,14.757073651138802
21.333299165590773,-26.230332509274366,14.212280454128788
21.530892256846318,-26.198858114044754,14.278061058173554
21.730315493050767,-25.934395849334283,14.10321601754114
21.931585825356198,-25.671464961845523,13.704491366940626
22.13472036191947,-25.470076076075088,13.354230234248277
22.339736369356451,-25.237804859199329,13.260474473127189
22.546651274209744,-25.266508951407864,13.153983774522038
22.755482664429827,-24.973872454523267,12.253375745905737
22.966248290870222,-24.843293504313326,12.241395769052122
23.17896606879621,-24.609501812396253,11.160383722100294
23.393654079407693,-24.421164408995818,12.132719261717583
23.610330571376114,-24.213978130373171,11.21330166765641
23.829013962395518,-24.069181807787189,11.663618500391683
24.049722840748245,-23.853288301099909,10.913854704785749
24.272475966884812,-23.775803121333652,9.8175882326244448
24.497292275018616,-23.511441055482521,10.468158492422521
24.724190874735385,-23.365299005204044,9.8841554373780607
24.953191052617392,-23.324886861215756,9.2668561183920843
25.18431227388302,-23.062143611768555,9.7653962962757195
25.417574184041161,-22.981947894545883,9.9568462207314052
25.6529966105612,-22.828974915674319,8.6865069660081069
25.890599564558322,-22.67555326079728,8.9195849572787065
26.130403242494427,-22.399352830312338,8.8672092410131391
26.372428027894969,-22.240972450588909,8.665208707319966
26.616694493081493,-22.072472083542007,7.780774383797695
26.863223400920305,-21.801785766336259,8.1634881775795591
27.112035706587381,-21.78448403357342,7.4807207289583602
27.363152559349437,-21.512811373548502,6.955721640995506
27.616595304361844,-21.37337297683143,6.9055809008698787
27.872385484482841,-21.167971588690367,6.1052583130900686
28.130544842104729,-21.023570326723263,5.9305123305243477
28.39109532100203,-20.888757773947898,5.7537976045598427
28.654059068196617,-20.675820266966092,5.3559144820419142
28.91945843584039,-20.516820853395178,4.9409974900008002
29.187315983115123,-20.315513644734114,5.0467830331115096
29.457654478150069,-20.142622821573013,4.0396240586735566
29.730496899957142,-19.757292214746155,3.8464619303576661
30.005866440384366,-19.532750043735099,3.4349789474763561
30.28378650608704,-19.329061773551921,3.4077292290706502
30.564280720517385,-19.222948107472163,3.3240218203130887
30.847372925932582,-19.01948119447545,2.5894552048596644
31.133087185421243,-18.861779599735037,1.8122794498424177
31.421447784949006,-18.678866924026018,1.7537913597880532
31.712479235422744,-18.516227937955808,1.3791761038465609
32.006206274774001,-18.314266641510166,1.1204126034484361
32.302653870061825,-18.171213991785269,0.56102094772831634
32.601847219594823,-17.967648669133233,0.17996452077548497
32.903811755073249,-17.826723560281351,0.012638104696343078
33.208573143750591,-17.646195530861498,-0.64981208180999772
33.51615729061534,-17.481112730442973,-0.84762011432416529
33.826590340592972,-17.317194317220377,-0.90184772021989801
34.139898680768162,-17.179509982167207,-1.8475296699911752
34.456108942627878,-16.996571165892654,-1.9626944652193004
34.775248004325007,-16.831735983398772,-2.1834895842273312
35.097342992963007,-16.644415329071755,-3.0527143715283458
35.422421286901773,-16.484944550407711,-2.8000051439680576
35.75051051808471,-16.310463604860214,-3.2360110797987645
36.081638574387654,-16.141651363151915,-3.7426858723661027
36.415833601989249,-16.02325833603312,-4.1301794893171078
36.753124007763411,-15.848447368709873,-4.5729724405118475
37.093538461693988,-15.657276959979814,-4.7642122922006038
37.437105899311589,-15.501167811792833,-5.3205805205685266
37.783855524153324,-15.373581046154051,-5.7117044663987002
38.133816810245044,-15.17861847310515,-6.0256175954011937
38.487019504606607,-15.034876883355741,-6.5832082593521548
38.843493629780532,-14.857893484901243,-6.9972178790181303
39.203269486383718,-14.701952795825166,-7.3876100473425268
39.56637765568329,-14.53347856776351,-7.1983361936059254
39.932849002195866,-14.217997373579333,-8.6010316536805433
40.302714676311176,-14.558447700674847,-7.5368853571595835
40.676006116939639,-13.718384372482987,-12.381914030013327
41.052755054185042,-14.875385016279719,-6.0935046336168668
41.432993512041378,-15.348255083269891,-5.8085932313351094
41.816753811114999,-12.409906415470665,0.47674157626403257
42.204068571371927,-13.822728997288348,-29.959351910396762
42.594970714910417,-10.502462549253559,-21.840152612031531
42.989493468759612,-20.068621688976961,-11.210388547809984
43.387670367703684,-13.746649211972134,27.592794860800254
43.789535257132414,-15.05576003189625,37.03404200630051
44.195122295918061,-7.1805127023511792,-18.841508224815684
44.604465959318773,-34.843697314959726,-92.423411007272918
45.017601041909231,-15.438818394763477,61.552230045945763
45.434562660538099,-19.644724400890585,85.202826205689618
45.855386257312972,-7.5496782800509834,29.149515508345587
46.280107602613079,-9.01475663412233,43.551575687550724
46.708762798129584,-13.924282362001501,73.599159914717546
47.14138827993456,-5.2891291738755282,12.307699913248257
47.578020821577866,-4.2173986028834376,-15.32122858805792
48.018697537213036,-4.4457332426370764,-32.72048872607823
48.463455884752015,-4.6956806985459707,6.4791843260933888
48.912333669048934,-3.9573123709315676,-13.602296369008798
