Hz,PHASE(v_out)
1,0
1.02329301834106,0
1.04712855815887,0
1.07151925563812,0
1.09647822380066,0
1.12201845645905,0
1.14815366268158,0
1.17489755153656,0
1.20226442813873,0
1.23026871681213,0
1.25892543792725,0
1.28824949264526,0
1.3182567358017,0
1.34896290302277,0
1.38038420677185,0
1.41253757476807,0
1.44543981552124,0
1.47910833358765,0
1.5135612487793,0
1.54881656169891,0
1.58489322662354,0
1.62181007862091,0
1.65958690643311,0
1.69824361801147,0
1.73780083656311,0
1.77827942371368,0
1.81970083713531,0
1.86208713054657,0
1.90546071529388,0
1.94984459877014,0
1.99526226520538,0
2.04173803329468,0
2.0892961025238,0
2.13796210289001,0
2.18776154518127,0
2.23872113227844,0
2.29086756706238,0
2.34422874450684,0
2.39883303642273,0
2.45470881462097,0
2.51188635826111,0
2.57039570808411,0
2.63026809692383,0
2.69153475761414,0
2.75422859191895,0
2.81838297843933,0
2.88403153419495,0
2.95120930671692,0
3.01995182037354,0
3.09029531478882,0
3.16227769851685,0
3.23593664169312,0
3.3113112449646,0
3.38844156265259,0
3.46736860275269,0
3.54813385009766,0
3.63078045845032,0
3.71535229682922,0
3.80189394950867,0
3.89045143127441,0
3.98107171058655,0
4.07380294799805,0
4.16869401931763,0
4.26579523086548,0
4.36515855789185,0
4.46683597564697,0
4.57088184356689,0
4.67735147476196,0
4.78630113601685,0
4.89778804779053,0
5.01187229156494,0
5.12861394882202,0
5.24807453155518,0
5.3703179359436,0
5.49540853500366,0
5.6234130859375,0
5.75439929962158,0
5.88843631744385,0
6.02559566497803,0
6.16594982147217,0
6.30957365036011,0
6.45654249191284,0
6.60693454742432,0
6.76082992553711,0
6.91830968856812,0
7.07945775985718,0
7.24435949325562,0
7.41310262680054,0
7.58577585220337,0
7.76247119903564,0
7.94328212738037,0
8.12830543518066,0
8.31763744354248,0
8.51138019561768,0
8.70963573455811,0
8.91250896453857,0
9.12010860443115,0
9.33254337310791,0
9.54992580413818,0
9.77237224578857,0
10,0
10.2329301834106,0
10.4712858200073,180
10.7151927947998,180
10.9647817611694,180
11.2201843261719,180
11.4815359115601,180
11.7489757537842,180
12.0226440429688,180
12.3026876449585,180
12.5892543792725,180
12.882495880127,180
13.1825675964355,180
13.4896287918091,180
13.8038425445557,180
14.1253757476807,180
14.4543981552124,180
14.7910842895508,180
15.135612487793,180
15.4881658554077,180
15.8489322662354,180
16.2181015014648,180
16.5958690643311,180
16.9824371337891,180
17.3780078887939,180
17.7827949523926,180
18.1970081329346,180
18.62087059021,180
19.0546073913574,180
19.4984455108643,180
19.9526233673096,180
20.4173793792725,180
20.8929615020752,180
21.3796215057373,180
21.8776168823242,180
22.3872108459473,180
22.9086761474609,180
23.4422874450684,180
23.9883289337158,180
24.5470886230469,180
25.1188640594482,180
25.7039585113525,180
26.3026790618896,180
26.9153480529785,180
27.5422878265381,180
28.1838302612305,180
28.8403148651123,180
29.512092590332,180
30.1995162963867,180
30.9029541015625,180
31.6227760314941,180
32.3593673706055,180
33.1131134033203,180
33.8844146728516,180
34.6736831665039,180
35.4813385009766,180
36.307804107666,180
37.1535224914551,180
38.0189399719238,180
38.9045143127441,180
39.810718536377,180
40.7380294799805,180
41.686939239502,180
42.6579513549805,180
43.6515846252441,180
44.6683578491211,180
45.7088203430176,180
46.7735137939453,180
47.8630104064941,180
48.9778823852539,180
50.118724822998,180
51.2861366271973,180
52.4807472229004,180
53.7031784057617,180
54.9540863037109,180
56.234130859375,180
57.5439949035645,180
58.8843650817871,180
60.2559585571289,180
61.6595001220703,180
63.0957336425781,180
64.5654220581055,180
66.0693435668945,180
67.6082992553711,180
69.1830978393555,180
70.7945785522461,180
72.4435958862305,180
74.1310272216797,180
75.8577575683594,180
77.6247100830078,180
79.4328231811523,180
81.2830505371094,180
83.1763763427734,180
85.1138000488281,180
87.0963592529297,180
89.1250915527344,180
91.2010803222656,180
93.3254318237305,180
95.4992599487305,180
97.7237243652344,180
100,180
102.329299926758,180
104.712852478027,180
107.151931762695,180
109.647819519043,180
112.201843261719,180
114.815361022949,180
117.489753723145,180
120.226440429688,180
123.026878356934,180
125.892539978027,180
128.824951171875,180
131.825668334961,180
134.896286010742,180
138.038421630859,180
141.253753662109,180
144.543975830078,180
147.910842895508,180
151.35612487793,180
154.88166809082,180
158.489318847656,180
162.181015014648,180
165.958694458008,180
169.824371337891,180
173.780090332031,180
177.827941894531,180
181.970092773438,180
186.208709716797,180
190.54606628418,180
194.984466552734,180
199.526229858398,180
204.173797607422,180
208.929611206055,180
213.796203613281,180
218.776168823242,180
223.872116088867,180
229.086761474609,180
234.422882080078,180
239.883285522461,180
245.470886230469,180
251.18864440918,180
257.039581298828,180
263.026794433594,180
269.153472900391,180
275.422882080078,180
281.838287353516,180
288.403137207031,180
295.120910644531,180
301.995178222656,180
309.029541015625,180
316.227752685547,180
323.593658447266,180
331.131134033203,180
338.844146728516,180
346.736846923828,180
354.813385009766,180
363.078063964844,180
371.535217285156,180
380.189392089844,180
389.045135498047,180
398.107177734375,180
407.380279541016,180
416.869384765625,180
426.579528808594,180
436.515838623047,180
446.68359375,180
457.088195800781,180
467.735137939453,180
478.630096435547,180
489.77880859375,180
501.187225341797,180
512.861389160156,180
524.807434082031,180
537.031799316406,180
549.540893554688,180
562.34130859375,180
575.43994140625,180
588.843627929688,180
602.5595703125,180
616.595031738281,180
630.957336425781,180
645.654235839844,180
660.693420410156,180
676.082946777344,180
691.830993652344,180
707.94580078125,180
724.435974121094,180
741.310241699219,180
758.577575683594,180
776.247131347656,180
794.328247070313,180
812.830505371094,180
831.763793945313,180
851.138061523438,180
870.963562011719,180
891.250915527344,180
912.010864257813,180
933.254272460938,180
954.992614746094,180
977.237243652344,180
1000,180
1023.29296875,180
1047.12854003906,180
1071.51928710938,180
1096.47814941406,180
1122.01843261719,180
1148.15356445313,180
1174.89758300781,180
1202.26440429688,180
1230.26879882813,180
