Hz,PHASE(v_out)
16982.4375,180
17378.0078125,180
17782.794921875,180
18197.0078125,180
18620.87109375,180
19054.607421875,180
19498.4453125,180
19952.623046875,180
20417.37890625,180
20892.9609375,180
21379.62109375,180
21877.6171875,180
22387.2109375,180
22908.67578125,180
23442.2890625,180
23988.330078125,180
24547.08984375,180
25118.865234375,180
25703.95703125,180
26302.6796875,180
26915.34765625,180
27542.287109375,180
28183.830078125,180
28840.314453125,180
29512.091796875,180
30199.517578125,180
30902.955078125,180
31622.77734375,180
32359.365234375,180
33113.11328125,180
33884.4140625,180
34673.68359375,180
35481.33984375,180
36307.8046875,180
37153.5234375,180
38018.94140625,180
38904.515625,180
39810.71875,180
40738.02734375,180
41686.9375,180
42657.953125,180
43651.58203125,180
44668.359375,180
45708.8203125,180
46773.515625,180
47863.0078125,180
48977.8828125,180
50118.72265625,180
51286.13671875,180
52480.74609375,180
53703.1796875,180
54954.0859375,180
56234.1328125,180
57543.9921875,180
58884.3671875,180
60255.95703125,180
61659.5,180
63095.734375,180
64565.421875,180
66069.34375,180
67608.296875,180
69183.09375,180
70794.578125,180
72443.59375,180
74131.0234375,180
75857.7578125,180
77624.7109375,180
79432.8203125,180
81283.0546875,180
83176.375,180
85113.8046875,180
87096.359375,180
89125.09375,180
91201.0859375,180
93325.4296875,180
95499.2578125,180
97723.71875,180
100000,180
