Hz,dB(v_out),PHASE(v_out)
1,0.0809148252010345,-0.181684985756874
1.02329301834106,0.0847475975751877,-0.185999006032944
1.04712855815887,0.0887612253427505,-0.190419495105743
1.07151925563812,0.0929677560925484,-0.194949299097061
1.09647822380066,0.0973730459809303,-0.199591517448425
1.12201845645905,0.101989090442657,-0.204349189996719
1.14815366268158,0.106825783848763,-0.209225565195084
1.17489755153656,0.111892983317375,-0.214224010705948
1.20226442813873,0.117201521992683,-0.21934799849987
1.23026871681213,0.122764244675636,-0.224601089954376
1.25892543792725,0.128592908382416,-0.229987025260925
1.28824949264526,0.134701266884804,-0.235509663820267
1.3182567358017,0.141100957989693,-0.241173088550568
1.34896290302277,0.147807613015175,-0.246981397271156
1.38038420677185,0.154835805296898,-0.252938956022263
1.41253757476807,0.162202045321465,-0.259050279855728
1.44543981552124,0.169920697808266,-0.265320092439651
1.47910833358765,0.178012132644653,-0.271753221750259
1.5135612487793,0.186491534113884,-0.27835488319397
1.54881656169891,0.195380046963692,-0.285130262374878
1.58489322662354,0.204697668552399,-0.292085021734238
1.62181007862091,0.214464232325554,-0.29922491312027
1.65958690643311,0.224703460931778,-0.306555986404419
1.69824361801147,0.235437870025635,-0.314084589481354
1.73780083656311,0.246692806482315,-0.321817338466644
1.77827942371368,0.258493393659592,-0.329761266708374
1.81970083713531,0.270867526531219,-0.337923526763916
1.86208713054657,0.283843815326691,-0.346311867237091
1.90546071529388,0.297452598810196,-0.354934245347977
1.94984459877014,0.311725854873657,-0.363799124956131
1.99526226520538,0.326696217060089,-0.372915416955948
2.04173803329468,0.342399895191193,-0.382292449474335
2.0892961025238,0.358873635530472,-0.391940027475357
2.13796210289001,0.376158654689789,-0.401868492364883
2.18776154518127,0.394293665885925,-0.412088930606842
2.23872113227844,0.413324624300003,-0.422612875699997
2.29086756706238,0.433297872543335,-0.433452486991882
2.34422874450684,0.454260885715485,-0.444620966911316
2.39883303642273,0.476266264915466,-0.456131875514984
2.45470881462097,0.499368607997894,-0.467999935150146
2.51188635826111,0.523626387119293,-0.480240643024445
2.57039570808411,0.54909884929657,-0.492870509624481
2.63026809692383,0.575852751731873,-0.50590717792511
2.69153475761414,0.60395622253418,-0.519369304180145
2.75422859191895,0.633481860160828,-0.533277034759521
2.81838297843933,0.664506018161774,-0.547651767730713
2.88403153419495,0.697112798690796,-0.562516272068024
2.95120930671692,0.731386005878448,-0.57789534330368
3.01995182037354,0.767421305179596,-0.593815267086029
3.09029531478882,0.805315315723419,-0.610304296016693
3.16227769851685,0.845172047615051,-0.627393186092377
3.23593664169312,0.887104272842407,-0.645114719867706
3.3113112449646,0.931231141090393,-0.663504362106323
3.38844156265259,0.977678656578064,-0.682600677013397
3.46736860275269,1.02658176422119,-0.702445268630981
3.54813385009766,1.07808649539948,-0.72308337688446
3.63078045845032,1.13234734535217,-0.744564175605774
3.71535229682922,1.18953084945679,-0.76694118976593
3.80189394950867,1.24981534481049,-0.790272772312164
3.89045143127441,1.31339180469513,-0.814623117446899
3.98107171058655,1.38046598434448,-0.840061962604523
4.07380294799805,1.45126020908356,-0.866666615009308
4.16869401931763,1.52601325511932,-0.894521594047546
4.26579523086548,1.60498464107513,-0.923720359802246
4.36515855789185,1.68845331668854,-0.954366564750671
4.46683597564697,1.77672231197357,-0.986574947834015
4.57088184356689,1.87012124061584,-1.02047300338745
4.67735147476196,1.96900904178619,-1.05620336532593
4.78630113601685,2.07377576828003,-1.09392535686493
4.89778804779053,2.18485021591187,-1.13381803035736
5.01187229156494,2.30269813537598,-1.17608284950256
5.12861394882202,2.4278359413147,-1.22094798088074
5.24807453155518,2.5608286857605,-1.26867210865021
5.3703179359436,2.70230221748352,-1.3195503950119
5.49540853500366,2.85295033454895,-1.37392055988312
5.6234130859375,3.01354360580444,-1.4321711063385
5.75439929962158,3.18494296073914,-1.49475121498108
5.88843631744385,3.36811208724976,-1.56218314170837
6.02559566497803,3.56413650512695,-1.6350771188736
6.16594982147217,3.77424144744873,-1.71415209770203
6.30957365036011,3.99982047080994,-1.80025911331177
6.45654249191284,4.24246549606323,-1.89441418647766
6.60693454742432,4.50400590896606,-1.99784052371979
6.76082992553711,4.78655672073364,-2.11202311515808
6.91830968856812,5.09258460998535,-2.2387843132019
7.07945775985718,5.42498540878296,-2.38038229942322
7.24435949325562,5.78719282150269,-2.53965306282043
7.41310262680054,6.18331909179688,-2.72020483016968
7.58577585220337,6.61834096908569,-2.92670154571533
7.76247119903564,7.09836721420288,-3.16527771949768
7.94328212738037,7.63100242614746,-3.44416689872742
8.12830543518066,8.22587585449219,-3.77468347549438
8.31763744354248,8.895432472229,-4.1728048324585
8.51138019561768,9.65613079071045,-4.6618504524231
8.70963573455811,10.5303754806519,-5.27722311019897
8.91250896453857,11.5497283935547,-6.07537460327148
9.12010860443115,12.7606210708618,-7.15207433700562
9.33254337310791,14.235203742981,-8.6835355758667
9.54992580413818,16.093864440918,-11.0319566726685
9.77237224578857,18.5569400787354,-15.0708980560303
10,22.0704402923584,-23.498405456543
10.2329301834106,27.3337688446045,-48.4080200195313
10.4712858200073,28.6020431518555,-117.670928955078
10.7151927947998,22.6896877288818,-152.689559936523
10.9647817611694,18.3857364654541,-163.37858581543
11.2201843261719,15.3087434768677,-168.1474609375
11.4815359115601,12.9216165542603,-170.812103271484
11.7489757537842,10.962477684021,-172.507354736328
12.0226440429688,9.29204750061035,-173.679428100586
12.3026876449585,7.8286395072937,-174.537857055664
12.5892543792725,6.52055168151855,-175.193710327148
12.882495880127,5.33308076858521,-175.711242675781
